Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0168,23,,,,B1L5M11,C1.1,518,BED/BATH,B1L5M11,C1,519,BED/BATH,,,,,,,
22-0169,24,,,,B1L5M05,B1.1-A.M (ADA),524,BATH/BED,B1L5M05,B1.1-A.M (ADA),524,BATH/BED,,,,,,,
22-0170,25,,,,B1L5M13,C1.1,518,BED/BATH,B1L5M13,C1,519,BED/BATH,,,,,,,
22-0171,26,,,,B1L2M12,C1.1,218,KITCHEN PEN,B1L2M12,C1,219,KITCHEN PEN,,,,,,,
22-0172,27,,,,B1L2M06,S1.C (HI),222,STUDIO,B1L2M06,S1.C (HI),222,STUDIO,,,,,,,
22-0173,28,,,,B1L4M01,STAIR 1,430,STAIR,B1L4M01,STORAGE,"463, 464, 465, 466, 467, 468, 469,  470, 471, 472, 473",COMMON,,,,,,,
22-0174,29,,,,B1L6M11,C1.1.M (ADA),618,BED/BATH,B1L6M11,C1,619,BED/BATH,,,,,,,
22-0175,30,,,,B1L3M06,S1.C (HI),322,STUDIO,B1L3M06,S1.C (HI),322,STUDIO,,,,,,,
22-0176,31,,,,B1L3M12,C1.1.M (ADA),318,KITCHEN PEN,B1L3M12,C1,319,KITCHEN PEN,,,,,,,
22-0177,32,,,,B1L6M13,C1.1.M (ADA),618,BED/BATH,B1L6M13,C1,619,BED/BATH,,,,,,,
22-0178,33,,,,B1L4M06,S1.M (ADA),422,STUDIO,B1L4M06,S1.M (ADA),422,STUDIO,,,,,,,
22-0179,34,,,,B1L4M12,C1.1,418,KITCHEN PEN,B1L4M12,C1,419,KITCHEN PEN,,,,,,,
22-0180,35,,,,B1L4M03,S1,426,STUDIO,B1L4M03,S1-D,427,STUDIO,,,,,,,
22-0181,36,,,,B1L5M06,S1,522,STUDIO,B1L5M06,S1,522,STUDIO,,,,,,,
22-0182,37,,,,B1L5M12,C1.1,518,KITCHEN PEN,B1L5M12,C1,519,KITCHEN PEN,,,,,,,
22-0183,38,,,,B1L6M06,S1,622,STUDIO,B1L6M06,S1,622,STUDIO,,,,,,,
